nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,12,0,False,,0.0,0.0,0.0,3,2,2,5036,311,0.017255,5.352234375022817,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,12,0,False,,0.0,0.0,0.0,3,2,2,5012,306,0.01712,4.979205833980814,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",False,extra_arg_changes_result,modify_load: extra argument q_mvar=11.2 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_first,1,True,5,0,False,,9.516197353929913e-17,5.005105835483605e-14,,4,3,3,6289,242,0.0193525,5.366716000018641,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,False,missed_step,missing tools: ['modify_load'],wrong_unflagged,False,formulation,False,True,text,True,pass_first,1,True,7,0,,,7.50651459919657e-05,0.2836023417925534,0.21488036028120688,3,2,2,2626,308,0.011185,5.3323803339735605,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,6,0,False,,0.0,0.0,0.0,3,2,2,5204,254,0.01682,5.410558875009883,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.6 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_first,1,True,6,0,False,,5.8465495596595114e-06,0.0007405084679230201,,3,2,2,5280,244,0.01686,4.68240304099163,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,wrong_id,modify_load: bus_id intended 11 != executed 10; modify_load: extra argument q_mvar=0.0 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_first,1,True,6,0,False,,0.0022736532446958613,1.2370742221639635,,3,2,2,5278,269,0.01723,6.854767124983482,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,pass_first,1,True,10,0,False,,0.0,0.0,0.0,3,2,2,4996,284,0.01675,4.647894499998074,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=0.0 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_first,1,True,10,0,False,,0.00013916977860642783,0.017095461939487612,,3,2,2,5266,322,0.017995,5.609326208010316,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=12.7 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,pass_first,1,True,6,0,False,,0.0,0.0,,3,2,2,5230,258,0.016944999999999998,5.203707915963605,
