nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,13,0,False,,0.0,0.0,0.0,3,2,2,5036,314,0.0173,6.953896458027884,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,12,0,False,,0.0,0.0,0.0,3,2,2,5012,318,0.0173,4.7861789999878965,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",False,extra_arg_changes_result,modify_load: extra argument q_mvar=11.2 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,6,0,False,,9.516197353929913e-17,5.005105835483605e-14,,4,3,3,6289,251,0.0194875,5.3658980000182055,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.6 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,7,0,False,,1.0964523878672797e-05,0.0013627836702001838,,4,3,3,6397,353,0.0212875,10.633848749974277,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,7,0,False,,0.0,0.0,0.0,3,2,2,5204,256,0.01685,5.373583416978363,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=1.6 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,6,0,False,,5.8465495596595114e-06,0.0007405084679230201,,3,2,2,5280,241,0.016815,4.486775291035883,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=0.0 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,6,0,False,,0.0003742287013147446,0.01973784292769367,,3,2,2,5272,256,0.01702,4.489959458995145,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,12,0,False,,0.0,0.0,0.0,3,2,2,4996,302,0.01702,5.306562457990367,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=0.0 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,9,0,False,,0.00013916977860642783,0.017095461939487612,,4,3,3,6365,266,0.0199025,6.238133999984711,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,False,extra_arg_changes_result,modify_load: extra argument q_mvar=12.7 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,True,,0,True,6,0,False,,0.0,0.0,,3,2,2,5230,244,0.016735,4.374483083025552,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,solved,True,numeric_and_answer_ok,False,False,text,True,,0,True,12,0,False,,0.0,0.0,0.0,5,4,4,19424,366,0.05405,7.344702125003096,
12,case14-multistep-006-s0,multistep,converged,"Load the 14-bus test case (case14), set the active load at bus 4 to 42.7 MW, disconnect the line between bus 3 and bus 4, reconnect the line between bus 3 and bus 4, and finally rerun the power flow, then list every line whose loading is above 80%.",False,extra_arg_changes_result,modify_load: extra argument q_mvar=-3.9 changes the solver outcome (request did not ask for it),wrong_unflagged,False,formulation,False,True,text,False,,0,False,18,1,False,,8.146603853842471e-06,0.0005590061064244401,,6,5,5,32833,438,0.08865250000000001,9.25569095800165,
13,case14-multistep-010-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 2 and bus 5, disconnect the line between bus 1 and bus 2, and finally rerun the power flow, then list every line whose loading is above 100%.",True,ok,,wrong_unflagged,False,answer_mismatch,False,True,text,False,,0,False,9,2,False,,0.0,0.0,0.0,5,4,4,20177,316,0.0551825,7.162935375003144,
