nn,request_id,difficulty,expected_outcome,request_text,formulation_exact,formulation_error_type,formulation_detail,outcome,solved,solved_reason,escalated,wrong_silently,failure_detection_path,v_pass,verification_outcome,verification_attempts,faithful_answers,n_numbers,n_untraceable_numbers,stale_state,safe_failure,voltage_mae_pu,flow_mae_mw,kcl_mismatch_mw,n_llm_calls,n_tool_calls,n_tool_rounds,prompt_tokens,completion_tokens,cost_usd,wall_time_s,error
1,case14-ambiguous-003-s0,ambiguous,converged,Load case14 and disconnect the line between bus ten and bus eleven.,,,no tool stage,escalated,False,convergence_mismatch,True,False,json,False,,,False,3,3,,,,,,1,0,0,2180,353,0.0005388,4.999221086502075,
2,case14-ambiguous-007-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 6 and bus 13 (1-based).,,,no tool stage,escalated,False,convergence_mismatch,True,False,json,False,,,False,3,3,,,,,,1,0,0,2194,334,0.0005295,6.112102746963501,
3,case14-ambiguous-011-s0,ambiguous,converged,"Load case14 and set the active load at bus 6 to 14,700 kw.",,,no tool stage,escalated,False,convergence_mismatch,True,False,json,False,,,False,6,6,,,,,,1,0,0,2185,535,0.00064875,9.133046865463257,
4,case14-ambiguous-015-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 4.4 MVA.,,,no tool stage,escalated,False,convergence_mismatch,True,False,json,False,,,False,4,3,,,,,,1,0,0,2195,506,0.0006328499999999999,4.696786880493164,
5,case14-ambiguous-019-s0,ambiguous,converged,Load the 14-bus test case (case14) and disconnect the line between bus 9 and bus 14 (1-based).,,,no tool stage,escalated,False,convergence_mismatch,True,False,json,False,,,False,6,6,,,,,,1,0,0,2194,363,0.0005469,6.888542890548706,
6,case14-ambiguous-023-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 5 (1-based) to 5.9 MW.,,,no tool stage,escalated,False,convergence_mismatch,True,False,json,False,,,False,6,4,,,,,,1,0,0,2194,518,0.0006399000000000001,8.14488673210144,
7,case14-ambiguous-027-s0,ambiguous,converged,Load the IEEE 14-bus system and set the active load at bus 10 (0-based) to 4.7 MW.,,,no tool stage,escalated,False,convergence_mismatch,True,False,json,True,,,True,4,0,,,,,,1,0,0,2194,374,0.0005535,6.300415992736816,
8,case14-ambiguous-031-s0,ambiguous,converged,Load case14 and disconnect the line between bus six and bus eleven.,,,no tool stage,escalated,False,convergence_mismatch,True,False,json,False,,,False,6,6,,,,,,1,0,0,2180,371,0.0005495999999999999,6.59077000617981,
9,case14-ambiguous-035-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 5 to 3.8 MVA.,,,no tool stage,escalated,False,convergence_mismatch,True,False,json,False,,,False,4,3,,,,,,1,0,0,2195,491,0.00062385,5.530232667922974,
10,case14-ambiguous-039-s0,ambiguous,converged,Load the 14-bus test case (case14) and set the active load at bus 1 (0-based) to 11 MW.,,,no tool stage,wrong_unflagged,False,convergence_mismatch,False,True,json,True,,,True,4,0,,,,,,1,0,0,2196,480,0.0006173999999999999,4.130873918533325,
11,case14-multistep-002-s0,multistep,converged,"Load the 14-bus test case (case14), disconnect the line between bus 6 and bus 13, disconnect the line between bus 12 and bus 13, and finally rerun the power flow, then list every line whose loading is above 100%.",,,no tool stage,wrong_unflagged,False,convergence_mismatch,False,True,json,False,,,False,3,3,,,,,,1,0,0,2221,406,0.00057675,3.8830621242523193,
